study_nr,author,title,pubyear,invivo_exvivo,invivo_exvivo_nr,structures_names,structures_nr,ident_seg,ident_seg_nr,Manual_or_Automatic_segmentation,manseg_auto_seg_nr,Which_sequence_visible,sequence_nr,Field_strength,Field_strength_nr,control_patient,type_of_patient,Total_n,T1_x,T1_y,T1_z,T1_voxel_volume_cubic_mm,T2_x,T2_y,T2_z,T2_voxel_volume_cubic_mm,T2s_x,T2s_y,T2s_z,T2s_voxel_volume_cubic_mm,fT2s_x,fT2s_y,fT2s_z,fT2s_voxel_volume_cubic_mm,dwi_x,dwi_y,dwi_z,dwi_voxel_volume_cubic_mm,swi_x,swi_y,swi_z,swi_voxel_volume_cubic_mm,mt_x,mt_y,mt_z,mt_voxel_volume_cubic_mm,pd_x,pd_y,pd_z,pd_voxel_volume_cubic_mm,other_x,other_y,other_z,other_voxel_volume_cubic_mm
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,substantia nigra pars dorsalis,108,Identification,1,NA,0,GE Magnitude PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,substantia nigra pars dorsalis,108,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,substantia nigra pars lateralis,109,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,substantia nigra matrix,111,Identification,1,NA,0,GE Magnitude PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,substantia nigra matrix,111,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,thalamus,115,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,basal ganglia,12,Identification,1,NA,0,SE T2,2,7.0,1,1,0,6,NA,NA,NA,NA,0.375,0.375,2,0.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,globus pallidus,13,Segmentation,2,n.s.,9999,SE T2,2,7.0,1,1,0,6,NA,NA,NA,NA,0.375,0.375,2,0.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,globus pallidus internal segment,14,Identification,1,NA,0,GE SWI,6,7.0,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,0.67,0.300763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,globus pallidus external segment,15,Identification,1,NA,0,GE SWI,6,7.0,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,0.67,0.300763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,red nucleus,91,Segmentation,2,n.s.,9999,SE T2,2,7.0,1,1,0,6,NA,NA,NA,NA,0.375,0.375,2,0.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,substantia nigra,104,Segmentation,2,n.s.,9999,SE T2,2,7.0,1,1,0,6,NA,NA,NA,NA,0.375,0.375,2,0.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,subthalamic nucleus,112,Segmentation,2,n.s.,9999,GE SWI,6,7.0,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,0.67,0.300763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,subthalamic nucleus,112,Segmentation,2,n.s.,9999,GE SWI,6,7.0,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,0.67,0.300763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,subthalamic nucleus,112,Segmentation,2,n.s.,9999,SE T2,2,7.0,1,1,0,6,NA,NA,NA,NA,0.375,0.375,2,0.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,thalamus,115,Identification,1,NA,0,SE T2,2,7.0,1,1,0,6,NA,NA,NA,NA,0.375,0.375,2,0.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,pulvinar,136,Identification,1,NA,0,GE SWI,6,7.0,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,0.67,0.300763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,thalamus ventral caudalis,139,Identification,1,NA,0,GE SWI,6,7.0,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,0.67,0.300763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Abosch,An Assessment of Current Brain Targets for Deep Brain Stimulation Surgery With Susceptibility-Weighted Imaging at 7 Tesla ,2010,Invivo,1,thalamus ventral intermediate nucleus,143,Identification,1,NA,0,GE SWI,6,7.0,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,0.67,0.300763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,abducens nucleus,1,Segmentation,2,n.s.,9999,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,abducens nucleus,1,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,dorsal accessory olivary nucleus,26,Segmentation,2,n.s.,9999,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,facial motor nucleus,30,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,hypoglossal nucleus,40,Segmentation,2,n.s.,9999,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,inferior olivary nucleus,49,Segmentation,2,n.s.,9999,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,inferior olivary nucleus,49,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,lateral vestibular nucleus,50,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,medial accessory olivary nucleus,54,Identification,1,NA,0,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,medial accessory olivary nucleus,54,Segmentation,2,n.s.,9999,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,cuneatus nucleus,58,Segmentation,2,n.s.,9999,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,lateral cuneatus nucleus,59,Identification,1,NA,0,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,oculomotor nucleus,64,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,primary olivary nucleus,76,Segmentation,2,n.s.,9999,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,primary sensory nucleus of trigeminal nerve,77,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,pontine nuclei,83,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,raphe nuclei,84,Identification,1,NA,0,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,dorsal raphe R1,86,Identification,1,NA,0,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,superior olivary nucleus,113,Identification,1,NA,0,ADC 0.170mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.17,0.17,0.004913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,trigeminal motor nucleus,147,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Aggarwal,Feasibility of creating a high-resolution 3D diffusion tensor imaging based atlas of the human brainstem: A case study at 11.7 T ,2013,Exvivo,2,trochlear nucleus,148,Segmentation,2,n.s.,9999,ADC 0.255mm,5,11.7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.125,0.001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Al_Helli,Deep brain stimulation of the subthalamic nucleus: histological verification and 9.4-T MRI correlation ,2015,Exvivo,2,subthalamic nucleus,112,Identification,1,NA,0,FSE,2,9.4,3,2,1,1,NA,NA,NA,NA,0.234,0.234,0.5,0.027378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Al_Radaideh,Increased iron accumulation occurs in the earliest stages of demyelinating disease: an ultra-high field susceptibility mapping study in Clinically Isolated Syndrome ,2012,Invivo,1,globus pallidus,13,Segmentation,2,Manual   ,1,Susceptibility maps,6,7.0,1,3,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Al_Radaideh,Increased iron accumulation occurs in the earliest stages of demyelinating disease: an ultra-high field susceptibility mapping study in Clinically Isolated Syndrome ,2012,Invivo,1,caudate,17,Segmentation,2,Manual   ,1,Susceptibility maps,6,7.0,1,3,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Al_Radaideh,Increased iron accumulation occurs in the earliest stages of demyelinating disease: an ultra-high field susceptibility mapping study in Clinically Isolated Syndrome ,2012,Invivo,1,putamen,19,Segmentation,2,Manual   ,1,Susceptibility maps,6,7.0,1,3,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Al_Radaideh,Increased iron accumulation occurs in the earliest stages of demyelinating disease: an ultra-high field susceptibility mapping study in Clinically Isolated Syndrome ,2012,Invivo,1,thalamus minus pulvinar,134,Segmentation,2,Manual   ,1,Susceptibility maps,6,7.0,1,3,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
